Date,Month,Day,YearShort,Flow,type,Year,waterYear
2/13/17,2,13,17,99998.62,outflow,2017,2017
2/12/17,2,12,17,69130.92,outflow,2017,2017
2/11/17,2,11,17,59472.22,outflow,2017,2017
2/10/17,2,10,17,60697.33,outflow,2017,2017
2/9/17,2,9,17,34252.63,outflow,2017,2017
2/8/17,2,8,17,11687.44,outflow,2017,2017
2/7/17,2,7,17,27424.79,outflow,2017,2017
2/6/17,2,6,17,38741.16,outflow,2017,2017
2/5/17,2,5,17,29910.8,outflow,2017,2017
2/4/17,2,4,17,30014.16,outflow,2017,2017
2/3/17,2,3,17,25772.15,outflow,2017,2017
2/2/17,2,2,17,20462.85,outflow,2017,2017
2/1/17,2,1,17,20187.07,outflow,2017,2017
1/31/17,1,31,17,17077.41,outflow,2017,2017
1/30/17,1,30,17,13078.92,outflow,2017,2017
1/29/17,1,29,17,11416.7,outflow,2017,2017
1/28/17,1,28,17,11366.29,outflow,2017,2017
1/27/17,1,27,17,11116.73,outflow,2017,2017
1/26/17,1,26,17,11331,outflow,2017,2017
1/25/17,1,25,17,11150.51,outflow,2017,2017
1/24/17,1,24,17,11098.58,outflow,2017,2017
1/23/17,1,23,17,11031.02,outflow,2017,2017
1/22/17,1,22,17,11053.2,outflow,2017,2017
1/21/17,1,21,17,11081.44,outflow,2017,2017
1/20/17,1,20,17,12715.92,outflow,2017,2017
1/19/17,1,19,17,14333.27,outflow,2017,2017
1/18/17,1,18,17,17730.3,outflow,2017,2017
1/17/17,1,17,17,19784.75,outflow,2017,2017
1/16/17,1,16,17,19768.11,outflow,2017,2017
1/15/17,1,15,17,19764.58,outflow,2017,2017
1/14/17,1,14,17,21309.83,outflow,2017,2017
1/13/17,1,13,17,15520.57,outflow,2017,2017
1/12/17,1,12,17,7314.86,outflow,2017,2017
1/11/17,1,11,17,3316.87,outflow,2017,2017
1/10/17,1,10,17,1599.19,outflow,2017,2017
1/9/17,1,9,17,1623.9,outflow,2017,2017
1/8/17,1,8,17,1366.27,outflow,2017,2017
1/7/17,1,7,17,1452.99,outflow,2017,2017
1/6/17,1,6,17,1993.45,outflow,2017,2017
1/5/17,1,5,17,1932.44,outflow,2017,2017
1/4/17,1,4,17,2020.17,outflow,2017,2017
1/3/17,1,3,17,2142.68,outflow,2017,2017
1/2/17,1,2,17,1954.12,outflow,2017,2017
1/1/17,1,1,17,2139.15,outflow,2017,2017
12/31/16,12,31,16,2017.14,outflow,2016,2017
12/30/16,12,30,16,2059.49,outflow,2016,2017
12/29/16,12,29,16,2051.93,outflow,2016,2017
12/28/16,12,28,16,2115.46,outflow,2016,2017
12/27/16,12,27,16,2131.59,outflow,2016,2017
12/26/16,12,26,16,2118.98,outflow,2016,2017
12/25/16,12,25,16,2171.92,outflow,2016,2017
12/24/16,12,24,16,2279.81,outflow,2016,2017
12/23/16,12,23,16,2273.76,outflow,2016,2017
12/22/16,12,22,16,1645.07,outflow,2016,2017
12/21/16,12,21,16,1656.17,outflow,2016,2017
12/20/16,12,20,16,1671.8,outflow,2016,2017
12/19/16,12,19,16,1854.3,outflow,2016,2017
12/18/16,12,18,16,1894.13,outflow,2016,2017
12/17/16,12,17,16,1836.66,outflow,2016,2017
12/16/16,12,16,16,1860.85,outflow,2016,2017
